home_team,home_goals,home_xg,away_team,away_goals,away_xg
Borussia M.Gladbach,1,1.98777,Bayern Munich,1,2.91794
Arminia Bielefeld,0,0.575032,Freiburg,0,1.63663
Augsburg,0,0.734658,Hoffenheim,4,3.44423
VfB Stuttgart,5,4.25968,Greuther Fuerth,1,1.31466
Union Berlin,1,0.443841,Bayer Leverkusen,1,0.7943
Wolfsburg,1,2.78774,Bochum,0,0.297792
Borussia Dortmund,5,2.83799,Eintracht Frankfurt,2,1.36709
Mainz 05,1,1.27109,RasenBallsport Leipzig,0,0.841814
FC Cologne,3,1.62567,Hertha Berlin,1,2.1078
RasenBallsport Leipzig,4,2.86627,VfB Stuttgart,0,0.958579
Greuther Fuerth,1,2.57735,Arminia Bielefeld,1,0.763691
Bochum,2,1.05301,Mainz 05,0,0.817413
Hertha Berlin,1,1.17401,Wolfsburg,2,0.558009
Freiburg,2,1.58418,Borussia Dortmund,1,1.49634
Eintracht Frankfurt,0,1.3297,Augsburg,0,0.16593
Bayer Leverkusen,4,1.94592,Borussia M.Gladbach,0,1.66054
Hoffenheim,2,0.967015,Union Berlin,2,2.35122
Bayern Munich,3,3.08002,FC Cologne,2,0.957893
Borussia Dortmund,3,3.40779,Hoffenheim,2,2.42487
FC Cologne,2,2.91135,Bochum,1,0.721445
Arminia Bielefeld,1,0.626534,Eintracht Frankfurt,1,1.78556
Augsburg,1,1.6937,Bayer Leverkusen,4,2.1207
Mainz 05,3,2.79493,Greuther Fuerth,0,0.304223
VfB Stuttgart,2,2.28063,Freiburg,3,1.36171
Bayern Munich,5,4.25513,Hertha Berlin,0,0.575566
Union Berlin,2,1.56256,Borussia M.Gladbach,1,1.52841
Wolfsburg,1,1.11229,RasenBallsport Leipzig,0,1.43914
Greuther Fuerth,0,0.392561,Wolfsburg,2,1.44282
Hoffenheim,0,0.509713,Mainz 05,2,0.933476
Freiburg,1,0.871642,FC Cologne,1,1.50213
Union Berlin,0,1.71533,Augsburg,0,0.831722
Bayer Leverkusen,3,0.471066,Borussia Dortmund,4,2.2922
RasenBallsport Leipzig,1,0.347898,Bayern Munich,4,4.30091
Eintracht Frankfurt,1,0.855719,VfB Stuttgart,1,0.618243
Bochum,1,1.02687,Hertha Berlin,3,0.605231
Borussia M.Gladbach,3,2.12932,Arminia Bielefeld,1,1.53189
Hertha Berlin,2,1.59085,Greuther Fuerth,1,1.55279
Augsburg,1,0.494801,Borussia M.Gladbach,0,0.74574
Mainz 05,0,1.26167,Freiburg,0,0.364252
Arminia Bielefeld,0,1.00534,Hoffenheim,0,1.54136
Bayern Munich,7,6.88189,Bochum,0,1.23312
FC Cologne,1,1.68932,RasenBallsport Leipzig,1,2.03702
VfB Stuttgart,1,1.41677,Bayer Leverkusen,3,1.59332
Borussia Dortmund,4,1.09855,Union Berlin,2,1.7321
Wolfsburg,1,1.84989,Eintracht Frankfurt,1,0.280625
Greuther Fuerth,1,0.655908,Bayern Munich,3,0.677915
Union Berlin,1,1.25321,Arminia Bielefeld,0,0.435528
Bayer Leverkusen,1,1.45034,Mainz 05,0,0.930118
Eintracht Frankfurt,1,0.950916,FC Cologne,1,1.10981
RasenBallsport Leipzig,6,4.25065,Hertha Berlin,0,0.341267
Hoffenheim,3,1.78602,Wolfsburg,1,0.504541
Borussia M.Gladbach,1,1.65529,Borussia Dortmund,0,0.568652
Bochum,0,0.925854,VfB Stuttgart,0,0.29441
Freiburg,3,3.97075,Augsburg,0,0.191653
FC Cologne,3,2.8694,Greuther Fuerth,1,0.984368
Hertha Berlin,1,0.913547,Freiburg,2,0.861008
VfB Stuttgart,3,0.76705,Hoffenheim,1,0.978235
Wolfsburg,1,1.22196,Borussia M.Gladbach,3,3.51831
