home_team,home_goals,home_xg,away_team,away_goals,away_xg
Brentford,2,1.88818,Arsenal,0,1.02385
Manchester United,5,1.64248,Leeds,1,0.568342
Burnley,1,1.79548,Brighton,2,1.6853
Chelsea,3,1.18709,Crystal Palace,0,0.321701
Everton,3,2.38863,Southampton,1,0.580601
Leicester,1,0.668082,Wolverhampton Wanderers,0,1.32714
Watford,3,1.35036,Aston Villa,2,1.13718
Norwich,0,1.3333,Liverpool,3,1.78728
Newcastle United,2,1.67926,West Ham,4,3.00939
Tottenham,1,1.06014,Manchester City,0,2.10585
Liverpool,2,2.63945,Burnley,0,0.690464
Manchester City,5,2.43928,Norwich,0,0.0250088
Aston Villa,2,1.18426,Newcastle United,0,0.63163
Crystal Palace,0,0.606313,Brentford,0,0.712439
Leeds,2,0.966093,Everton,2,1.85713
Brighton,2,1.77896,Watford,0,0.407224
Southampton,1,0.587526,Manchester United,1,2.26173
Wolverhampton Wanderers,0,1.51127,Tottenham,1,1.72636
Arsenal,0,0.630099,Chelsea,2,3.64132
West Ham,4,2.28613,Leicester,1,0.62676
Manchester City,5,4.47273,Arsenal,0,0.116805
Newcastle United,2,1.19077,Southampton,2,3.46036
Norwich,1,1.44084,Leicester,2,1.27371
Aston Villa,1,0.431464,Brentford,1,1.13312
Brighton,0,0.701622,Everton,2,1.54868
West Ham,2,1.44748,Crystal Palace,2,1.67658
Liverpool,1,2.08462,Chelsea,1,0.573638
Burnley,1,1.71102,Leeds,1,1.52078
Tottenham,1,0.920963,Watford,0,0.596016
Wolverhampton Wanderers,0,1.79575,Manchester United,1,0.944083
Crystal Palace,3,2.89372,Tottenham,0,0.0775646
Arsenal,1,2.68515,Norwich,0,0.577292
Brentford,0,0.729786,Brighton,1,0.287902
Leicester,0,0.8001,Manchester City,1,2.75058
Manchester United,4,2.77326,Newcastle United,1,0.622042
Southampton,0,0.692135,West Ham,0,0.725407
Watford,0,0.185407,Wolverhampton Wanderers,2,2.55922
Chelsea,3,1.22153,Aston Villa,0,1.17349
Leeds,0,0.652514,Liverpool,3,4.4016
Everton,3,1.80386,Burnley,1,1.82061
Newcastle United,1,1.17668,Leeds,1,1.42995
Wolverhampton Wanderers,0,1.02316,Brentford,2,2.32741
Norwich,1,0.782665,Watford,3,2.42487
Burnley,0,0.775574,Arsenal,1,1.09928
Liverpool,3,2.76793,Crystal Palace,0,0.644168
Manchester City,0,1.22451,Southampton,0,0.490923
Aston Villa,3,0.777716,Everton,0,0.755035
Brighton,2,1.47438,Leicester,1,1.25373
West Ham,1,1.6671,Manchester United,2,1.8954
Tottenham,0,0.70567,Chelsea,3,2.5869
Chelsea,0,0.194202,Manchester City,1,1.69244
Manchester United,0,1.9251,Aston Villa,1,1.57249
Watford,1,0.904061,Newcastle United,1,2.52338
Everton,2,2.26681,Norwich,0,0.800903
Leeds,1,1.1967,West Ham,2,1.98962
Leicester,2,2.16233,Burnley,2,0.428866
Brentford,3,2.94058,Liverpool,3,2.25736
Southampton,0,0.909342,Wolverhampton Wanderers,1,0.909833
Arsenal,3,1.44499,Tottenham,1,0.980166
Crystal Palace,1,1.36836,Brighton,1,0.649566
Manchester United,1,1.0496,Everton,1,1.32211
Burnley,0,0.584725,Norwich,0,0.673617
Chelsea,3,3.79243,Southampton,1,1.52634
Leeds,1,1.57388,Watford,0,0.192794
Wolverhampton Wanderers,2,1.15849,Newcastle United,1,0.865217
Brighton,0,1.11551,Arsenal,0,0.36431
Crystal Palace,2,1.1703,Leicester,2,1.04322
Tottenham,2,1.78187,Aston Villa,1,1.07395
West Ham,1,1.37258,Brentford,2,1.30098
Liverpool,2,0.949368,Manchester City,2,1.04319
Watford,0,0.302302,Liverpool,5,3.65553
Aston Villa,2,1.21276,Wolverhampton Wanderers,3,2.19633
Leicester,4,2.96611,Manchester United,2,1.02494
Manchester City,2,2.15712,Burnley,0,1.07719
Norwich,0,1.16088,Brighton,0,1.17572
Southampton,1,1.83082,Leeds,0,0.446173
